,disease_name,entity_content,relation_name
0,胃癌,腹腔,解剖部位
1,胃癌,腹,解剖部位
2,胃癌,盆腔,解剖部位
3,胃癌,腹壁,解剖部位
4,胃癌,大网膜,解剖部位
5,胃癌,肝脏,解剖部位
6,胃癌,贲门右淋巴结,解剖部位
7,胃癌,小弯淋巴结,解剖部位
8,胃癌,大弯淋巴结,解剖部位
9,胃癌,幽门下淋巴结,解剖部位
10,胃癌,幽门上淋巴结,解剖部位
11,胃癌,（胃右动脉旁）淋巴结,解剖部位
12,胃癌,（肝总动脉旁）淋巴结,解剖部位
13,胃癌,腹,解剖部位
14,胃癌,腹,解剖部位
15,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,腹腔,解剖部位
16,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,腹,解剖部位
17,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,盆腔,解剖部位
18,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,腹壁,解剖部位
19,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,大网膜,解剖部位
20,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,肝脏,解剖部位
21,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,贲门右淋巴结,解剖部位
22,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,小弯淋巴结,解剖部位
23,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,大弯淋巴结,解剖部位
24,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,幽门下淋巴结,解剖部位
25,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,幽门上淋巴结,解剖部位
26,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,（胃右动脉旁）淋巴结,解剖部位
27,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,（肝总动脉旁）淋巴结,解剖部位
28,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,腹,解剖部位
29,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,腹,解剖部位
30,胃癌术后,腹腔,解剖部位
31,胃癌术后,腹,解剖部位
32,胃癌术后,盆腔,解剖部位
33,胃癌术后,腹壁,解剖部位
34,胃癌术后,大网膜,解剖部位
35,胃癌术后,肝脏,解剖部位
36,胃癌术后,贲门右淋巴结,解剖部位
37,胃癌术后,小弯淋巴结,解剖部位
38,胃癌术后,大弯淋巴结,解剖部位
39,胃癌术后,幽门下淋巴结,解剖部位
40,胃癌术后,幽门上淋巴结,解剖部位
41,胃癌术后,（胃右动脉旁）淋巴结,解剖部位
42,胃癌术后,（肝总动脉旁）淋巴结,解剖部位
43,胃癌术后,腹,解剖部位
44,胃癌术后,腹,解剖部位
45,直肠癌,腹腔,解剖部位
46,直肠癌,腹,解剖部位
47,直肠癌,腹,解剖部位
48,直肠癌,肝脏,解剖部位
49,直肠癌,直肠,解剖部位
50,直肠癌,腹腔,解剖部位
51,直肠癌,肠壁一站（13个）、二站（10个）淋巴结,解剖部位
52,直肠癌,腹,解剖部位
53,直肠癌,腹,解剖部位
54,直肠癌,肛门,解剖部位
55,直肠腺癌（中、低度分化）,隆起型,腹腔,解剖部位
56,直肠腺癌（中、低度分化）,隆起型,腹,解剖部位
57,直肠腺癌（中、低度分化）,隆起型,腹,解剖部位
58,直肠腺癌（中、低度分化）,隆起型,肝脏,解剖部位
59,直肠腺癌（中、低度分化）,隆起型,直肠,解剖部位
60,直肠腺癌（中、低度分化）,隆起型,腹腔,解剖部位
61,直肠腺癌（中、低度分化）,隆起型,肠壁一站（13个）、二站（10个）淋巴结,解剖部位
62,直肠腺癌（中、低度分化）,隆起型,腹,解剖部位
63,直肠腺癌（中、低度分化）,隆起型,腹,解剖部位
64,直肠腺癌（中、低度分化）,隆起型,肛门,解剖部位
65,直肠癌术后,腹腔,解剖部位
66,直肠癌术后,腹,解剖部位
67,直肠癌术后,腹,解剖部位
68,直肠癌术后,肝脏,解剖部位
69,直肠癌术后,直肠,解剖部位
70,直肠癌术后,腹腔,解剖部位
71,直肠癌术后,肠壁一站（13个）、二站（10个）淋巴结,解剖部位
72,直肠癌术后,腹,解剖部位
73,直肠癌术后,腹,解剖部位
74,直肠癌术后,肛门,解剖部位
