,disease_name,entity_content,relation_name
0,腰1压缩性骨折,腰骶部平扫,影像检查
1,腰1压缩性骨折,腹部CT,影像检查
2,腰椎退行性变,腰骶部平扫,影像检查
3,腰椎退行性变,腹部CT,影像检查
4,腰2/3、3/4、4/5椎间盘突出,腰骶部平扫,影像检查
5,腰2/3、3/4、4/5椎间盘突出,腹部CT,影像检查
6,腰4/5水平双侧隐窝狭窄,腰骶部平扫,影像检查
7,腰4/5水平双侧隐窝狭窄,腹部CT,影像检查
8,骶1-3水平椎管局限性膨大,腰骶部平扫,影像检查
9,骶1-3水平椎管局限性膨大,腹部CT,影像检查
10,不除外骶管囊肿,腰骶部平扫,影像检查
11,不除外骶管囊肿,腹部CT,影像检查
12,胆囊结石,腰骶部平扫,影像检查
13,胆囊结石,腹部CT,影像检查
14,胃癌伴幽门梗阻,腰骶部平扫,影像检查
15,胃癌伴幽门梗阻,腹部CT,影像检查
16,（胃窦、幽门）腺癌,腰骶部平扫,影像检查
17,（胃窦、幽门）腺癌,腹部CT,影像检查
18,胃窦腺癌（中低度分化）,腰骶部平扫,影像检查
19,胃窦腺癌（中低度分化）,腹部CT,影像检查
20,胃癌术后,腰骶部平扫,影像检查
21,胃癌术后,腹部CT,影像检查
22,升结肠癌,腹盆MR,影像检查
23,结肠癌,全腹CT,影像检查
24,（直肠下段），：肠溃疡型管状腺癌II级,全腹CT,影像检查
25,筛状粉刺型腺癌,全腹CT,影像检查
26,直肠癌根治术后,全腹CT,影像检查
27,卵巢癌,B超,影像检查
28,两侧卵巢见低分化浆液性腺癌浸润,B超,影像检查
29,低分化浆液性腺癌,B超,影像检查
30,腺癌,B超,影像检查
31,低分化腺癌,B超,影像检查
32,卵巢浆液性腺癌IIIC期,B超,影像检查
33,肠瘘,B超,影像检查
34,胃窦部MT伴胃周淋巴结转移,PET-CT,影像检查
35,胃窦部MT伴胃周淋巴结转移,腹部CT,影像检查
36,脂肪肝,PET-CT,影像检查
37,脂肪肝,腹部CT,影像检查
38,肝左后叶上段及两肾囊肿,PET-CT,影像检查
39,肝左后叶上段及两肾囊肿,腹部CT,影像检查
40,左肾小结石,PET-CT,影像检查
41,左肾小结石,腹部CT,影像检查
42,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),PET-CT,影像检查
43,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),腹部CT,影像检查
44,神经内分泌癌,PET-CT,影像检查
45,神经内分泌癌,腹部CT,影像检查
46,部分肉瘤样癌,PET-CT,影像检查
47,部分肉瘤样癌,腹部CT,影像检查
48,部分管状腺癌,PET-CT,影像检查
49,部分管状腺癌,腹部CT,影像检查
50,脑梗死,头颈部CTA,影像检查
51,脑梗死,CTA,影像检查
52,脑梗死,心脏彩超,影像检查
53,脑梗死,腹部彩超,影像检查
54,脑梗死,颈动脉彩超,影像检查
55,脑梗死后遗症,头颈部CTA,影像检查
56,脑梗死后遗症,CTA,影像检查
57,脑梗死后遗症,心脏彩超,影像检查
58,脑梗死后遗症,腹部彩超,影像检查
59,脑梗死后遗症,颈动脉彩超,影像检查
60,短暂性脑缺血发作,头颈部CTA,影像检查
61,短暂性脑缺血发作,CTA,影像检查
62,短暂性脑缺血发作,心脏彩超,影像检查
63,短暂性脑缺血发作,腹部彩超,影像检查
64,短暂性脑缺血发作,颈动脉彩超,影像检查
65,高血压病,头颈部CTA,影像检查
66,高血压病,CTA,影像检查
67,高血压病,心脏彩超,影像检查
68,高血压病,腹部彩超,影像检查
69,高血压病,颈动脉彩超,影像检查
70,颈动脉多发硬化性斑块形成,头颈部CTA,影像检查
71,颈动脉多发硬化性斑块形成,CTA,影像检查
72,颈动脉多发硬化性斑块形成,心脏彩超,影像检查
73,颈动脉多发硬化性斑块形成,腹部彩超,影像检查
74,颈动脉多发硬化性斑块形成,颈动脉彩超,影像检查
75,高脂血症,头颈部CTA,影像检查
76,高脂血症,CTA,影像检查
77,高脂血症,心脏彩超,影像检查
78,高脂血症,腹部彩超,影像检查
79,高脂血症,颈动脉彩超,影像检查
80,2型糖尿病,头颈部CTA,影像检查
81,2型糖尿病,CTA,影像检查
82,2型糖尿病,心脏彩超,影像检查
83,2型糖尿病,腹部彩超,影像检查
84,2型糖尿病,颈动脉彩超,影像检查
85,两侧基底节区及侧脑室体旁腔隙性脑梗死,头颈部CTA,影像检查
86,两侧基底节区及侧脑室体旁腔隙性脑梗死,CTA,影像检查
87,两侧基底节区及侧脑室体旁腔隙性脑梗死,心脏彩超,影像检查
88,两侧基底节区及侧脑室体旁腔隙性脑梗死,腹部彩超,影像检查
89,两侧基底节区及侧脑室体旁腔隙性脑梗死,颈动脉彩超,影像检查
90,右侧颞、枕叶慢性脑梗死,头颈部CTA,影像检查
91,右侧颞、枕叶慢性脑梗死,CTA,影像检查
92,右侧颞、枕叶慢性脑梗死,心脏彩超,影像检查
93,右侧颞、枕叶慢性脑梗死,腹部彩超,影像检查
