,disease_name,entity_content,relation_name
0,胃癌,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,疾病和诊断
1,胃癌,胃癌术后,疾病和诊断
2,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,胃癌,疾病和诊断
3,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,胃癌术后,疾病和诊断
4,胃癌术后,胃癌,疾病和诊断
5,胃癌术后,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,疾病和诊断
6,直肠癌,直肠腺癌（中、低度分化）,隆起型,疾病和诊断
7,直肠癌,直肠癌术后,疾病和诊断
8,直肠腺癌（中、低度分化）,隆起型,直肠癌,疾病和诊断
9,直肠腺癌（中、低度分化）,隆起型,直肠癌术后,疾病和诊断
10,直肠癌术后,直肠癌,疾病和诊断
11,直肠癌术后,直肠腺癌（中、低度分化）,隆起型,疾病和诊断
12,食管中段癌,食管溃疡型鳞状细胞癌II级,疾病和诊断
13,食管溃疡型鳞状细胞癌II级,食管中段癌,疾病和诊断
14,腰1压缩性骨折,腰椎退行性变,疾病和诊断
15,腰1压缩性骨折,腰2/3、3/4、4/5椎间盘突出,疾病和诊断
16,腰1压缩性骨折,腰4/5水平双侧隐窝狭窄,疾病和诊断
17,腰1压缩性骨折,骶1-3水平椎管局限性膨大,疾病和诊断
18,腰1压缩性骨折,不除外骶管囊肿,疾病和诊断
19,腰1压缩性骨折,胆囊结石,疾病和诊断
20,腰1压缩性骨折,胃癌伴幽门梗阻,疾病和诊断
21,腰1压缩性骨折,（胃窦、幽门）腺癌,疾病和诊断
22,腰1压缩性骨折,胃窦腺癌（中低度分化）,疾病和诊断
23,腰1压缩性骨折,胃癌术后,疾病和诊断
24,腰椎退行性变,腰1压缩性骨折,疾病和诊断
25,腰椎退行性变,腰2/3、3/4、4/5椎间盘突出,疾病和诊断
26,腰椎退行性变,腰4/5水平双侧隐窝狭窄,疾病和诊断
27,腰椎退行性变,骶1-3水平椎管局限性膨大,疾病和诊断
28,腰椎退行性变,不除外骶管囊肿,疾病和诊断
29,腰椎退行性变,胆囊结石,疾病和诊断
30,腰椎退行性变,胃癌伴幽门梗阻,疾病和诊断
31,腰椎退行性变,（胃窦、幽门）腺癌,疾病和诊断
32,腰椎退行性变,胃窦腺癌（中低度分化）,疾病和诊断
33,腰椎退行性变,胃癌术后,疾病和诊断
34,腰2/3、3/4、4/5椎间盘突出,腰1压缩性骨折,疾病和诊断
35,腰2/3、3/4、4/5椎间盘突出,腰椎退行性变,疾病和诊断
36,腰2/3、3/4、4/5椎间盘突出,腰4/5水平双侧隐窝狭窄,疾病和诊断
37,腰2/3、3/4、4/5椎间盘突出,骶1-3水平椎管局限性膨大,疾病和诊断
38,腰2/3、3/4、4/5椎间盘突出,不除外骶管囊肿,疾病和诊断
39,腰2/3、3/4、4/5椎间盘突出,胆囊结石,疾病和诊断
40,腰2/3、3/4、4/5椎间盘突出,胃癌伴幽门梗阻,疾病和诊断
41,腰2/3、3/4、4/5椎间盘突出,（胃窦、幽门）腺癌,疾病和诊断
42,腰2/3、3/4、4/5椎间盘突出,胃窦腺癌（中低度分化）,疾病和诊断
43,腰2/3、3/4、4/5椎间盘突出,胃癌术后,疾病和诊断
44,腰4/5水平双侧隐窝狭窄,腰1压缩性骨折,疾病和诊断
45,腰4/5水平双侧隐窝狭窄,腰椎退行性变,疾病和诊断
46,腰4/5水平双侧隐窝狭窄,腰2/3、3/4、4/5椎间盘突出,疾病和诊断
47,腰4/5水平双侧隐窝狭窄,骶1-3水平椎管局限性膨大,疾病和诊断
48,腰4/5水平双侧隐窝狭窄,不除外骶管囊肿,疾病和诊断
49,腰4/5水平双侧隐窝狭窄,胆囊结石,疾病和诊断
50,腰4/5水平双侧隐窝狭窄,胃癌伴幽门梗阻,疾病和诊断
51,腰4/5水平双侧隐窝狭窄,（胃窦、幽门）腺癌,疾病和诊断
