,disease_name,entity_content,relation_name
0,胃癌,奥沙利铂,药物
1,胃癌,卡培他滨,药物
2,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,奥沙利铂,药物
3,（全胃）胃体下段小弯侧溃疡型管状腺癌I级,卡培他滨,药物
4,胃癌术后,奥沙利铂,药物
5,胃癌术后,卡培他滨,药物
6,直肠癌,奥沙利铂,药物
7,直肠癌,亚叶酸钙,药物
8,直肠癌,替加氟,药物
9,直肠腺癌（中、低度分化）,隆起型,奥沙利铂,药物
10,直肠腺癌（中、低度分化）,隆起型,亚叶酸钙,药物
11,直肠腺癌（中、低度分化）,隆起型,替加氟,药物
12,直肠癌术后,奥沙利铂,药物
13,直肠癌术后,亚叶酸钙,药物
14,直肠癌术后,替加氟,药物
15,直肠癌,奥沙利铂,药物
16,直肠癌,亚叶酸钙,药物
17,直肠癌,氟尿嘧啶,药物
18,直肠腺癌（中、低度分化），部分呈粘液腺癌分化，隆起型,奥沙利铂,药物
19,直肠腺癌（中、低度分化），部分呈粘液腺癌分化，隆起型,亚叶酸钙,药物
20,直肠腺癌（中、低度分化），部分呈粘液腺癌分化，隆起型,氟尿嘧啶,药物
21,直肠癌术后,奥沙利铂,药物
22,直肠癌术后,亚叶酸钙,药物
23,直肠癌术后,氟尿嘧啶,药物
24,结肠癌,奥沙利铂,药物
25,结肠癌,氟尿嘧啶,药物
26,结肠癌,亚叶酸钙,药物
27,结肠癌,氟尿嘧啶,药物
28,（直肠下段），：肠溃疡型管状腺癌II级,奥沙利铂,药物
29,（直肠下段），：肠溃疡型管状腺癌II级,氟尿嘧啶,药物
30,（直肠下段），：肠溃疡型管状腺癌II级,亚叶酸钙,药物
31,（直肠下段），：肠溃疡型管状腺癌II级,氟尿嘧啶,药物
32,筛状粉刺型腺癌,奥沙利铂,药物
33,筛状粉刺型腺癌,氟尿嘧啶,药物
34,筛状粉刺型腺癌,亚叶酸钙,药物
35,筛状粉刺型腺癌,氟尿嘧啶,药物
36,直肠癌根治术后,奥沙利铂,药物
37,直肠癌根治术后,氟尿嘧啶,药物
38,直肠癌根治术后,亚叶酸钙,药物
39,直肠癌根治术后,氟尿嘧啶,药物
40,卵巢癌,北华素,药物
41,卵巢癌,波贝,药物
42,两侧卵巢见低分化浆液性腺癌浸润,北华素,药物
43,两侧卵巢见低分化浆液性腺癌浸润,波贝,药物
44,低分化浆液性腺癌,北华素,药物
45,低分化浆液性腺癌,波贝,药物
46,腺癌,北华素,药物
47,腺癌,波贝,药物
48,低分化腺癌,北华素,药物
49,低分化腺癌,波贝,药物
50,卵巢浆液性腺癌IIIC期,北华素,药物
51,卵巢浆液性腺癌IIIC期,波贝,药物
52,肠瘘,北华素,药物
53,肠瘘,波贝,药物
54,胃窦癌,奥沙利铂,药物
55,胃窦癌,乐沙定,药物
56,胃窦癌,希罗达,药物
57,胃体前壁及胃窦溃疡型管状腺癌II-III级,奥沙利铂,药物
58,胃体前壁及胃窦溃疡型管状腺癌II-III级,乐沙定,药物
59,胃体前壁及胃窦溃疡型管状腺癌II-III级,希罗达,药物
60,胃管状腺癌术后（PT4AN1M0IIIA期）,奥沙利铂,药物
61,胃管状腺癌术后（PT4AN1M0IIIA期）,乐沙定,药物
62,胃管状腺癌术后（PT4AN1M0IIIA期）,希罗达,药物
63,胃窦部MT伴胃周淋巴结转移,表柔比星,药物
64,胃窦部MT伴胃周淋巴结转移,奥沙利铂,药物
65,胃窦部MT伴胃周淋巴结转移,希罗达,药物
66,胃窦部MT伴胃周淋巴结转移,表柔比星,药物
67,胃窦部MT伴胃周淋巴结转移,奥沙利铂,药物
68,胃窦部MT伴胃周淋巴结转移,希罗达,药物
69,胃窦部MT伴胃周淋巴结转移,表柔比星,药物
70,胃窦部MT伴胃周淋巴结转移,奥沙利铂,药物
71,胃窦部MT伴胃周淋巴结转移,希罗达,药物
72,脂肪肝,表柔比星,药物
73,脂肪肝,奥沙利铂,药物
74,脂肪肝,希罗达,药物
75,脂肪肝,表柔比星,药物
76,脂肪肝,奥沙利铂,药物
77,脂肪肝,希罗达,药物
78,脂肪肝,表柔比星,药物
79,脂肪肝,奥沙利铂,药物
80,脂肪肝,希罗达,药物
81,肝左后叶上段及两肾囊肿,表柔比星,药物
82,肝左后叶上段及两肾囊肿,奥沙利铂,药物
83,肝左后叶上段及两肾囊肿,希罗达,药物
84,肝左后叶上段及两肾囊肿,表柔比星,药物
85,肝左后叶上段及两肾囊肿,奥沙利铂,药物
86,肝左后叶上段及两肾囊肿,希罗达,药物
87,肝左后叶上段及两肾囊肿,表柔比星,药物
88,肝左后叶上段及两肾囊肿,奥沙利铂,药物
89,肝左后叶上段及两肾囊肿,希罗达,药物
90,左肾小结石,表柔比星,药物
91,左肾小结石,奥沙利铂,药物
92,左肾小结石,希罗达,药物
93,左肾小结石,表柔比星,药物
94,左肾小结石,奥沙利铂,药物
95,左肾小结石,希罗达,药物
96,左肾小结石,表柔比星,药物
97,左肾小结石,奥沙利铂,药物
98,左肾小结石,希罗达,药物
99,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),表柔比星,药物
100,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),奥沙利铂,药物
101,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),希罗达,药物
102,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),表柔比星,药物
103,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),奥沙利铂,药物
104,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),希罗达,药物
105,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),表柔比星,药物
106,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),奥沙利铂,药物
107,(远端胃)下皮性恶性肿瘤，部分区为神经内分泌癌(G3，约占肿瘤体积40%)；部分为肉瘤样癌(约占肿瘤体积40%)；部分为管状腺癌，分化II级(LAUREN分型肠型，约占肿瘤组织20%),希罗达,药物
108,神经内分泌癌,表柔比星,药物
